code,label_en
P312N_S14,"Final consumption expenditure of households, semi-durable goods, non-durable goods and services"
P312_S14,"Final consumption expenditure of households, semi-durable goods"
P313_S14,"Final consumption expenditure of households, non-durable goods"
P314_S14,"Final consumption expenditure of households, services"
P31_CLV2010,Final consumption expenditure - chain linked volumes reference year 2010
P31_CLV2020,Final consumption expenditure - chain linked volumes reference year 2020
P31_S13,Individual consumption expenditure of general government
P31_S14,Final consumption expenditure of household
P31_S14_DC,Final consumption expenditure of households (domestic concept)
P31_S14_NC,Final consumption expenditure of households (national concept)
P31_S14_S15,Household and NPISH final consumption expenditure
P31_S15,Final consumption expenditure of NPISH
P32,Collective consumption expenditure
P32_S13,Collective consumption expenditure of general government
P33,Final consumption expenditure of resident households in the rest of the world - total
P34,Final consumption expenditure of non-resident households on the economic territory - total
P3_P5,Final consumption expenditure and gross capital formation
P3_P6,"Final consumption expenditure, gross capital formation and exports of goods and services"
P3_S13,Final consumption expenditure of general government
P4,Actual final consumption
P41,Actual individual consumption
P4_R_HAB,Actual final consumption in real terms per capita
P4_R_HAB_2010,Actual final consumption in real terms per capita (2010=100)
P4_R_HAB_GR,Actual final consumption in real terms per capita (percentage change on previous period)
P5,Gross capital formation
P51C,Consumption of fixed capital
P51G,Gross fixed capital formation
P51G_CLV2010,Gross fixed capital formation - chain linked volumes reference year 2010
P51G_CLV2020,Gross fixed capital formation - chain linked volumes reference year 2020
P51G_N111G,"Assets, gross - dwellings"
P51G_N111G_CLV2010,"Assets, gross - dwellings - chain linked volumes reference year 2010"
P51G_N111G_CLV2020,"Assets, gross - dwellings - chain linked volumes reference year 2020"
P51G_N1121G,"Assets, gross - buildings other than dwellings"
P51G_N1121G_CLV2010,"Assets, gross - buildings other than dwellings - chain linked volumes reference year 2010"
P51G_N1121G_CLV2020,"Assets, gross - buildings other than dwellings - chain linked volumes reference year 2020"
P51G_N1122G,"Assets, gross - other structures"
P51G_N1122G_CLV2010,"Assets, gross - other structures - chain linked volumes reference year 2010"
P51G_N1122G_CLV2020,"Assets, gross - other structures - chain linked volumes reference year 2020"
P51G_N112G,"Assets, gross - other buildings and structures"
P51G_N112G_CLV2010,"Assets, gross - other buildings and structures - chain linked volumes reference year 2010"
P51G_N112G_CLV2020,"Assets, gross - other buildings and structures - chain linked volumes reference year 2020"
P51G_N11G_CLV2010,"Assets, gross - fixed assets by type of asset - chain linked volumes reference year 2010"
P51G_N11G_CLV2020,"Assets, gross - fixed assets by type of asset - chain linked volumes reference year 2020"
P51G_RAT_GDP_BUS,Business investment to GDP ratio (S11_S12_P51G/B1GQ*100)
